sku,sale_date,units_sold,revenue
top-sirloin-steak-cr,2025-03-15,41.55,1412.28
flank-steak,2025-03-15,27.82,1001.24
blade-thin-sliced,2025-03-15,177.84,4444.22
pork-belly-thin-cut,2025-03-15,126.94,1648.95
wagyu-flatiron-thin,2025-03-15,15.0,989.85
tomahawk-steak,2025-03-15,9.0,866.09
tenderloin-steak,2025-03-15,7.73,510.1
brisket-whole-trimmed,2025-03-15,29.61,562.29
eye-of-round-roast,2025-03-15,34.57,691.05
beef-stew-meat,2025-03-15,28.78,488.97
skirt-steak,2025-03-15,17.66,688.56
osso-buco,2025-03-15,12.69,228.29
ground-beef-medium,2025-03-15,203.73,2850.18
pork-chops-bnls,2025-03-15,69.63,1043.75
pulled-pork-roast,2025-03-15,46.69,513.12
chuck-roast,2025-03-16,56.51,1327.42
striploin-steak-bnls,2025-03-16,74.46,3201.04
ribeye-steak-bnls,2025-03-16,18.46,922.82
short-ribs-simmering,2025-03-16,92.86,4177.77
top-sirloin-steak-cr,2025-03-16,41.81,1421.12
flank-steak,2025-03-16,18.27,657.54
blade-thin-sliced,2025-03-16,167.71,4191.07
pork-belly-thin-cut,2025-03-16,138.7,1801.71
wagyu-flatiron-thin,2025-03-16,17.03,1123.81
tomahawk-steak,2025-03-16,9.0,866.09
tenderloin-steak,2025-03-16,8.25,544.42
brisket-whole-trimmed,2025-03-16,36.95,701.68
eye-of-round-roast,2025-03-16,35.87,717.04
beef-stew-meat,2025-03-16,25.13,426.96
skirt-steak,2025-03-16,15.34,598.11
osso-buco,2025-03-16,13.02,234.23
ground-beef-medium,2025-03-16,157.94,2209.58
pork-chops-bnls,2025-03-16,80.57,1207.74
pulled-pork-roast,2025-03-16,46.25,508.29
chuck-roast,2025-03-17,31.1,730.54
striploin-steak-bnls,2025-03-17,46.08,1980.98
ribeye-steak-bnls,2025-03-17,11.9,594.88
short-ribs-simmering,2025-03-17,57.18,2572.53
top-sirloin-steak-cr,2025-03-17,26.41,897.68
flank-steak,2025-03-17,12.44,447.72
blade-thin-sliced,2025-03-17,112.26,2805.38
pork-belly-thin-cut,2025-03-17,70.78,919.43
wagyu-flatiron-thin,2025-03-17,11.06,729.85
tomahawk-steak,2025-03-17,7.0,673.63
tenderloin-steak,2025-03-17,3.46,228.33
brisket-whole-trimmed,2025-03-17,18.97,360.24
eye-of-round-roast,2025-03-17,18.7,373.81
beef-stew-meat,2025-03-17,30.59,519.72
skirt-steak,2025-03-17,8.52,332.19
osso-buco,2025-03-17,6.91,124.31
ground-beef-medium,2025-03-17,125.2,1751.55
pork-chops-bnls,2025-03-17,49.55,742.75
pulled-pork-roast,2025-03-17,24.05,264.31
chuck-roast,2025-03-18,36.51,857.62
striploin-steak-bnls,2025-03-18,47.85,2057.07
ribeye-steak-bnls,2025-03-18,13.26,662.87
short-ribs-simmering,2025-03-18,65.89,2964.39
top-sirloin-steak-cr,2025-03-18,21.05,715.49
flank-steak,2025-03-18,17.34,624.07
blade-thin-sliced,2025-03-18,88.07,2200.87
pork-belly-thin-cut,2025-03-18,102.93,1337.06
wagyu-flatiron-thin,2025-03-18,10.43,688.28
tomahawk-steak,2025-03-18,5.0,481.16
tenderloin-steak,2025-03-18,4.62,304.87
brisket-whole-trimmed,2025-03-18,19.94,378.66
eye-of-round-roast,2025-03-18,24.86,496.95
beef-stew-meat,2025-03-18,26.65,452.78
skirt-steak,2025-03-18,8.63,336.48
osso-buco,2025-03-18,6.91,124.31
ground-beef-medium,2025-03-18,139.13,1946.43
pork-chops-bnls,2025-03-18,62.8,941.37
pulled-pork-roast,2025-03-18,22.62,248.59
chuck-roast,2025-03-19,31.75,745.81
striploin-steak-bnls,2025-03-19,48.85,2100.06
ribeye-steak-bnls,2025-03-19,14.82,740.85
short-ribs-simmering,2025-03-19,67.01,3014.78
top-sirloin-steak-cr,2025-03-19,24.19,822.22
flank-steak,2025-03-19,12.86,462.83
blade-thin-sliced,2025-03-19,95.06,2375.55
pork-belly-thin-cut,2025-03-19,79.79,1036.47
wagyu-flatiron-thin,2025-03-19,7.28,480.41
tomahawk-steak,2025-03-19,6.0,577.39
tenderloin-steak,2025-03-19,3.51,231.62
brisket-whole-trimmed,2025-03-19,16.8,319.03
eye-of-round-roast,2025-03-19,15.54,310.64
beef-stew-meat,2025-03-19,22.88,388.73
skirt-steak,2025-03-19,10.12,394.58
osso-buco,2025-03-19,6.54,117.65
ground-beef-medium,2025-03-19,138.63,1939.43
pork-chops-bnls,2025-03-19,44.98,674.25
pulled-pork-roast,2025-03-19,26.28,288.82
chuck-roast,2025-03-20,34.8,817.45
striploin-steak-bnls,2025-03-20,45.82,1969.8
ribeye-steak-bnls,2025-03-20,17.54,876.82
short-ribs-simmering,2025-03-20,74.29,3342.31
top-sirloin-steak-cr,2025-03-20,21.33,725.01
flank-steak,2025-03-20,12.37,445.2
blade-thin-sliced,2025-03-20,102.17,2553.23
pork-belly-thin-cut,2025-03-20,94.09,1222.23
wagyu-flatiron-thin,2025-03-20,8.74,576.75
tomahawk-steak,2025-03-20,6.0,577.39
tenderloin-steak,2025-03-20,4.22,278.48
brisket-whole-trimmed,2025-03-20,17.46,331.57
eye-of-round-roast,2025-03-20,29.13,582.31
beef-stew-meat,2025-03-20,26.85,456.18
skirt-steak,2025-03-20,10.96,427.33
osso-buco,2025-03-20,7.39,132.95
ground-beef-medium,2025-03-20,148.99,2084.37
pork-chops-bnls,2025-03-20,48.71,730.16
pulled-pork-roast,2025-03-20,19.98,219.58
chuck-roast,2025-03-21,37.41,878.76
striploin-steak-bnls,2025-03-21,49.82,2141.76
ribeye-steak-bnls,2025-03-21,13.34,666.87
short-ribs-simmering,2025-03-21,53.13,2390.32
top-sirloin-steak-cr,2025-03-21,18.81,639.35
flank-steak,2025-03-21,11.2,403.09
blade-thin-sliced,2025-03-21,85.99,2148.89
pork-belly-thin-cut,2025-03-21,89.69,1165.07
wagyu-flatiron-thin,2025-03-21,10.13,668.48
tomahawk-steak,2025-03-21,6.0,577.39
tenderloin-steak,2025-03-21,2.7,178.17
brisket-whole-trimmed,2025-03-21,17.31,328.72
eye-of-round-roast,2025-03-21,21.7,433.78
beef-stew-meat,2025-03-21,34.12,579.7
skirt-steak,2025-03-21,7.44,290.09
osso-buco,2025-03-21,6.76,121.61
ground-beef-medium,2025-03-21,162.83,2277.99
pork-chops-bnls,2025-03-21,56.05,840.19
pulled-pork-roast,2025-03-21,23.67,260.13
chuck-roast,2025-03-22,49.36,1159.47
striploin-steak-bnls,2025-03-22,69.06,2968.89
ribeye-steak-bnls,2025-03-22,24.29,1214.26
short-ribs-simmering,2025-03-22,76.34,3434.54
top-sirloin-steak-cr,2025-03-22,44.25,1504.06
flank-steak,2025-03-22,18.78,675.89
blade-thin-sliced,2025-03-22,174.93,4371.5
pork-belly-thin-cut,2025-03-22,135.65,1762.09
wagyu-flatiron-thin,2025-03-22,14.8,976.65
tomahawk-steak,2025-03-22,9.0,866.09
tenderloin-steak,2025-03-22,7.4,488.33
brisket-whole-trimmed,2025-03-22,27.26,517.67
eye-of-round-roast,2025-03-22,29.7,593.7
beef-stew-meat,2025-03-22,31.03,527.2
skirt-steak,2025-03-22,16.56,645.67
osso-buco,2025-03-22,11.57,208.14
ground-beef-medium,2025-03-22,212.06,2966.72
pork-chops-bnls,2025-03-22,69.17,1036.86
pulled-pork-roast,2025-03-22,37.23,409.16
chuck-roast,2025-03-23,45.18,1061.28
striploin-steak-bnls,2025-03-23,77.79,3344.19
ribeye-steak-bnls,2025-03-23,23.02,1150.77
short-ribs-simmering,2025-03-23,81.99,3688.73
top-sirloin-steak-cr,2025-03-23,42.28,1437.1
flank-steak,2025-03-23,17.2,619.03
blade-thin-sliced,2025-03-23,167.33,4181.58
pork-belly-thin-cut,2025-03-23,168.61,2190.24
wagyu-flatiron-thin,2025-03-23,16.19,1068.38
tomahawk-steak,2025-03-23,9.0,866.09
tenderloin-steak,2025-03-23,8.51,561.57
brisket-whole-trimmed,2025-03-23,34.49,654.97
eye-of-round-roast,2025-03-23,24.4,487.76
beef-stew-meat,2025-03-23,28.96,492.03
skirt-steak,2025-03-23,16.34,637.1
osso-buco,2025-03-23,12.19,219.3
ground-beef-medium,2025-03-23,227.83,3187.34
pork-chops-bnls,2025-03-23,76.72,1150.03
pulled-pork-roast,2025-03-23,31.61,347.39
chuck-roast,2025-03-24,30.43,714.8
striploin-steak-bnls,2025-03-24,31.86,1369.66
ribeye-steak-bnls,2025-03-24,12.91,645.37
short-ribs-simmering,2025-03-24,60.59,2725.94
top-sirloin-steak-cr,2025-03-24,21.04,715.15
flank-steak,2025-03-24,15.11,543.81
blade-thin-sliced,2025-03-24,122.6,3063.77
pork-belly-thin-cut,2025-03-24,86.74,1126.75
wagyu-flatiron-thin,2025-03-24,6.86,452.69
tomahawk-steak,2025-03-24,7.0,673.63
tenderloin-steak,2025-03-24,3.78,249.44
brisket-whole-trimmed,2025-03-24,18.37,348.85
eye-of-round-roast,2025-03-24,24.89,497.55
beef-stew-meat,2025-03-24,23.1,392.47
skirt-steak,2025-03-24,11.26,439.03
osso-buco,2025-03-24,6.31,113.52
ground-beef-medium,2025-03-24,145.23,2031.77
pork-chops-bnls,2025-03-24,43.41,650.72
pulled-pork-roast,2025-03-24,19.8,217.6
chuck-roast,2025-03-25,42.45,997.15
striploin-steak-bnls,2025-03-25,42.9,1844.27
ribeye-steak-bnls,2025-03-25,14.68,733.85
short-ribs-simmering,2025-03-25,63.75,2868.11
top-sirloin-steak-cr,2025-03-25,21.85,742.68
flank-steak,2025-03-25,15.63,562.52
blade-thin-sliced,2025-03-25,103.26,2580.47
pork-belly-thin-cut,2025-03-25,71.55,929.43
wagyu-flatiron-thin,2025-03-25,8.04,530.56
tomahawk-steak,2025-03-25,6.0,577.39
tenderloin-steak,2025-03-25,3.71,244.82
brisket-whole-trimmed,2025-03-25,14.68,278.77
eye-of-round-roast,2025-03-25,20.29,405.6
beef-stew-meat,2025-03-25,24.77,420.84
skirt-steak,2025-03-25,8.47,330.25
osso-buco,2025-03-25,6.01,108.12
ground-beef-medium,2025-03-25,123.17,1723.15
pork-chops-bnls,2025-03-25,48.68,729.71
pulled-pork-roast,2025-03-25,24.27,266.73
chuck-roast,2025-03-26,39.01,916.34
striploin-steak-bnls,2025-03-26,43.5,1870.07
ribeye-steak-bnls,2025-03-26,12.67,633.37
short-ribs-simmering,2025-03-26,63.01,2834.82
top-sirloin-steak-cr,2025-03-26,20.07,682.18
flank-steak,2025-03-26,11.58,416.76
blade-thin-sliced,2025-03-26,94.93,2372.3
pork-belly-thin-cut,2025-03-26,82.05,1065.83
wagyu-flatiron-thin,2025-03-26,7.7,508.12
tomahawk-steak,2025-03-26,6.0,577.39
tenderloin-steak,2025-03-26,3.86,254.72
brisket-whole-trimmed,2025-03-26,14.64,278.01
eye-of-round-roast,2025-03-26,22.2,443.78
beef-stew-meat,2025-03-26,25.87,439.53
skirt-steak,2025-03-26,9.22,359.49
osso-buco,2025-03-26,7.07,127.19
ground-beef-medium,2025-03-26,111.6,1561.28
pork-chops-bnls,2025-03-26,45.67,684.59
pulled-pork-roast,2025-03-26,22.21,244.09
chuck-roast,2025-03-27,40.04,940.54
striploin-steak-bnls,2025-03-27,33.97,1460.37
ribeye-steak-bnls,2025-03-27,13.84,691.86
short-ribs-simmering,2025-03-27,71.44,3214.09
top-sirloin-steak-cr,2025-03-27,21.73,738.6
flank-steak,2025-03-27,14.18,510.34
blade-thin-sliced,2025-03-27,97.66,2440.52
pork-belly-thin-cut,2025-03-27,87.27,1133.64
wagyu-flatiron-thin,2025-03-27,7.29,481.07
tomahawk-steak,2025-03-27,5.0,481.16
tenderloin-steak,2025-03-27,3.96,261.32
brisket-whole-trimmed,2025-03-27,15.74,298.9
eye-of-round-roast,2025-03-27,20.96,418.99
beef-stew-meat,2025-03-27,22.5,382.27
skirt-steak,2025-03-27,7.48,291.65
osso-buco,2025-03-27,6.94,124.85
ground-beef-medium,2025-03-27,121.69,1702.44
pork-chops-bnls,2025-03-27,55.57,832.99
pulled-pork-roast,2025-03-27,23.36,256.73
chuck-roast,2025-03-28,36.79,864.2
striploin-steak-bnls,2025-03-28,45.54,1957.76
ribeye-steak-bnls,2025-03-28,16.04,801.84
short-ribs-simmering,2025-03-28,54.54,2453.75
top-sirloin-steak-cr,2025-03-28,21.99,747.44
flank-steak,2025-03-28,15.2,547.05
blade-thin-sliced,2025-03-28,123.57,3088.01
pork-belly-thin-cut,2025-03-28,74.68,970.09
wagyu-flatiron-thin,2025-03-28,8.53,562.89
tomahawk-steak,2025-03-28,7.0,673.63
tenderloin-steak,2025-03-28,3.76,248.12
brisket-whole-trimmed,2025-03-28,18.12,344.1
eye-of-round-roast,2025-03-28,21.56,430.98
beef-stew-meat,2025-03-28,25.37,431.04
skirt-steak,2025-03-28,9.16,357.15
osso-buco,2025-03-28,6.87,123.59
ground-beef-medium,2025-03-28,132.11,1848.22
pork-chops-bnls,2025-03-28,53.62,803.76
pulled-pork-roast,2025-03-28,20.41,224.31
chuck-roast,2025-03-29,51.89,1218.9
striploin-steak-bnls,2025-03-29,94.07,4044.07
ribeye-steak-bnls,2025-03-29,17.89,894.32
short-ribs-simmering,2025-03-29,87.42,3933.03
top-sirloin-steak-cr,2025-03-29,36.37,1236.22
flank-steak,2025-03-29,23.71,853.32
blade-thin-sliced,2025-03-29,169.13,4226.56
pork-belly-thin-cut,2025-03-29,145.45,1889.4
wagyu-flatiron-thin,2025-03-29,18.34,1210.26
tomahawk-steak,2025-03-29,9.0,866.09
tenderloin-steak,2025-03-29,9.12,601.83
brisket-whole-trimmed,2025-03-29,23.41,444.56
eye-of-round-roast,2025-03-29,37.47,749.03
beef-stew-meat,2025-03-29,37.03,629.14
skirt-steak,2025-03-29,18.13,706.89
osso-buco,2025-03-29,11.48,206.53
ground-beef-medium,2025-03-29,176.33,2466.86
pork-chops-bnls,2025-03-29,81.07,1215.24
pulled-pork-roast,2025-03-29,39.75,436.85
chuck-roast,2025-03-30,50.36,1182.96
striploin-steak-bnls,2025-03-30,75.58,3249.18
ribeye-steak-bnls,2025-03-30,17.92,895.82
short-ribs-simmering,2025-03-30,94.48,4250.66
top-sirloin-steak-cr,2025-03-30,39.87,1355.18
flank-steak,2025-03-30,21.6,777.38
blade-thin-sliced,2025-03-30,141.06,3525.09
pork-belly-thin-cut,2025-03-30,141.02,1831.85
wagyu-flatiron-thin,2025-03-30,11.94,787.92
tomahawk-steak,2025-03-30,10.0,962.33
tenderloin-steak,2025-03-30,6.67,440.15
brisket-whole-trimmed,2025-03-30,31.18,592.11
eye-of-round-roast,2025-03-30,30.54,610.49
beef-stew-meat,2025-03-30,40.72,691.83
skirt-steak,2025-03-30,15.6,608.24
osso-buco,2025-03-30,12.22,219.84
ground-beef-medium,2025-03-30,183.3,2564.37
pork-chops-bnls,2025-03-30,92.77,1390.62
pulled-pork-roast,2025-03-30,42.47,466.75
chuck-roast,2025-03-31,33.81,794.2
striploin-steak-bnls,2025-03-31,43.03,1849.86
ribeye-steak-bnls,2025-03-31,11.01,550.39
short-ribs-simmering,2025-03-31,64.91,2920.3
top-sirloin-steak-cr,2025-03-31,17.93,609.44
flank-steak,2025-03-31,14.53,522.93
blade-thin-sliced,2025-03-31,107.87,2695.67
pork-belly-thin-cut,2025-03-31,117.76,1529.7
wagyu-flatiron-thin,2025-03-31,7.76,512.08
tomahawk-steak,2025-03-31,6.0,577.39
tenderloin-steak,2025-03-31,4.39,289.7
brisket-whole-trimmed,2025-03-31,20.42,387.78
eye-of-round-roast,2025-03-31,20.36,407.0
beef-stew-meat,2025-03-31,27.28,463.49
skirt-steak,2025-03-31,8.85,345.06
osso-buco,2025-03-31,7.32,131.69
ground-beef-medium,2025-03-31,122.14,1708.74
pork-chops-bnls,2025-03-31,52.55,787.72
pulled-pork-roast,2025-03-31,18.28,200.9
chuck-roast,2025-04-01,35.99,845.41
striploin-steak-bnls,2025-04-01,46.71,2008.06
ribeye-steak-bnls,2025-04-01,12.92,645.87
short-ribs-simmering,2025-04-01,51.08,2298.09
top-sirloin-steak-cr,2025-04-01,24.91,846.69
flank-steak,2025-04-01,13.87,499.18
blade-thin-sliced,2025-04-01,97.39,2433.78
pork-belly-thin-cut,2025-04-01,85.6,1111.94
wagyu-flatiron-thin,2025-04-01,7.4,488.33
tomahawk-steak,2025-04-01,5.0,481.16
tenderloin-steak,2025-04-01,3.32,219.09
brisket-whole-trimmed,2025-04-01,20.51,389.48
eye-of-round-roast,2025-04-01,20.5,409.79
beef-stew-meat,2025-04-01,28.67,487.1
skirt-steak,2025-04-01,8.3,323.62
osso-buco,2025-04-01,7.29,131.15
ground-beef-medium,2025-04-01,130.56,1826.53
pork-chops-bnls,2025-04-01,58.96,883.81
pulled-pork-roast,2025-04-01,20.76,228.15
chuck-roast,2025-04-02,29.34,689.2
striploin-steak-bnls,2025-04-02,37.52,1612.98
ribeye-steak-bnls,2025-04-02,12.46,622.88
short-ribs-simmering,2025-04-02,53.37,2401.12
top-sirloin-steak-cr,2025-04-02,23.24,789.93
flank-steak,2025-04-02,12.56,452.03
blade-thin-sliced,2025-04-02,141.11,3526.34
pork-belly-thin-cut,2025-04-02,71.91,934.11
wagyu-flatiron-thin,2025-04-02,9.07,598.53
tomahawk-steak,2025-04-02,5.0,481.16
tenderloin-steak,2025-04-02,3.34,220.41
brisket-whole-trimmed,2025-04-02,18.01,342.01
eye-of-round-roast,2025-04-02,16.76,335.03
beef-stew-meat,2025-04-02,27.32,464.17
skirt-steak,2025-04-02,11.11,433.18
osso-buco,2025-04-02,6.71,120.71
ground-beef-medium,2025-04-02,136.97,1916.21
pork-chops-bnls,2025-04-02,60.04,900.0
pulled-pork-roast,2025-04-02,21.7,238.48
chuck-roast,2025-04-03,33.03,775.87
striploin-steak-bnls,2025-04-03,33.72,1449.62
ribeye-steak-bnls,2025-04-03,14.34,716.86
short-ribs-simmering,2025-04-03,61.13,2750.24
top-sirloin-steak-cr,2025-04-03,19.61,666.54
flank-steak,2025-04-03,13.48,485.15
blade-thin-sliced,2025-04-03,99.07,2475.76
pork-belly-thin-cut,2025-04-03,83.1,1079.47
wagyu-flatiron-thin,2025-04-03,9.52,628.22
tomahawk-steak,2025-04-03,5.0,481.16
tenderloin-steak,2025-04-03,4.01,264.62
brisket-whole-trimmed,2025-04-03,14.98,284.47
eye-of-round-roast,2025-04-03,20.44,408.6
beef-stew-meat,2025-04-03,33.42,567.81
skirt-steak,2025-04-03,10.13,394.97
osso-buco,2025-04-03,7.16,128.81
ground-beef-medium,2025-04-03,118.66,1660.05
pork-chops-bnls,2025-04-03,49.86,747.4
pulled-pork-roast,2025-04-03,22.33,245.41
chuck-roast,2025-04-04,35.57,835.54
striploin-steak-bnls,2025-04-04,43.78,1882.1
ribeye-steak-bnls,2025-04-04,13.23,661.37
short-ribs-simmering,2025-04-04,60.4,2717.4
top-sirloin-steak-cr,2025-04-04,18.63,633.23
flank-steak,2025-04-04,12.48,449.16
blade-thin-sliced,2025-04-04,118.5,2961.31
pork-belly-thin-cut,2025-04-04,75.16,976.33
wagyu-flatiron-thin,2025-04-04,8.65,570.81
tomahawk-steak,2025-04-04,6.0,577.39
tenderloin-steak,2025-04-04,3.59,236.9
brisket-whole-trimmed,2025-04-04,16.9,320.93
eye-of-round-roast,2025-04-04,26.41,527.94
beef-stew-meat,2025-04-04,28.22,479.46
skirt-steak,2025-04-04,7.57,295.15
osso-buco,2025-04-04,7.67,137.98
ground-beef-medium,2025-04-04,121.04,1693.35
pork-chops-bnls,2025-04-04,49.57,743.05
pulled-pork-roast,2025-04-04,22.98,252.55
chuck-roast,2025-04-05,45.91,1078.43
striploin-steak-bnls,2025-04-05,73.87,3175.67
ribeye-steak-bnls,2025-04-05,20.17,1008.3
short-ribs-simmering,2025-04-05,78.1,3513.72
top-sirloin-steak-cr,2025-04-05,36.83,1251.85
flank-steak,2025-04-05,20.68,744.27
blade-thin-sliced,2025-04-05,191.82,4793.58
pork-belly-thin-cut,2025-04-05,143.15,1859.52
wagyu-flatiron-thin,2025-04-05,19.55,1290.1
tomahawk-steak,2025-04-05,12.0,1154.79
tenderloin-steak,2025-04-05,7.04,464.57
brisket-whole-trimmed,2025-04-05,31.25,593.44
eye-of-round-roast,2025-04-05,26.92,538.13
beef-stew-meat,2025-04-05,32.27,548.27
skirt-steak,2025-04-05,14.78,576.27
osso-buco,2025-04-05,11.7,210.48
ground-beef-medium,2025-04-05,171.73,2402.5
pork-chops-bnls,2025-04-05,78.31,1173.87
pulled-pork-roast,2025-04-05,34.44,378.5
chuck-roast,2025-04-06,53.85,1264.94
striploin-steak-bnls,2025-04-06,59.49,2557.48
ribeye-steak-bnls,2025-04-06,30.97,1548.19
short-ribs-simmering,2025-04-06,79.68,3584.8
top-sirloin-steak-cr,2025-04-06,40.18,1365.72
flank-steak,2025-04-06,18.96,682.37
blade-thin-sliced,2025-04-06,206.26,5154.44
pork-belly-thin-cut,2025-04-06,151.8,1971.88
wagyu-flatiron-thin,2025-04-06,16.51,1089.49
tomahawk-steak,2025-04-06,8.0,769.86
tenderloin-steak,2025-04-06,8.17,539.14
brisket-whole-trimmed,2025-04-06,27.09,514.44
eye-of-round-roast,2025-04-06,36.9,737.63
beef-stew-meat,2025-04-06,39.01,662.78
skirt-steak,2025-04-06,16.12,628.52
osso-buco,2025-04-06,9.92,178.46
ground-beef-medium,2025-04-06,173.15,2422.37
pork-chops-bnls,2025-04-06,86.5,1296.63
pulled-pork-roast,2025-04-06,46.05,506.09
chuck-roast,2025-04-07,40.43,949.7
striploin-steak-bnls,2025-04-07,36.59,1573.0
ribeye-steak-bnls,2025-04-07,13.77,688.36
short-ribs-simmering,2025-04-07,69.97,3147.95
top-sirloin-steak-cr,2025-04-07,18.15,616.92
flank-steak,2025-04-07,13.27,477.59
blade-thin-sliced,2025-04-07,109.76,2742.9
pork-belly-thin-cut,2025-04-07,85.4,1109.35
wagyu-flatiron-thin,2025-04-07,7.09,467.87
tomahawk-steak,2025-04-07,6.0,577.39
tenderloin-steak,2025-04-07,3.41,225.03
brisket-whole-trimmed,2025-04-07,17.39,330.24
eye-of-round-roast,2025-04-07,20.69,413.59
beef-stew-meat,2025-04-07,25.19,427.98
skirt-steak,2025-04-07,8.81,343.5
osso-buco,2025-04-07,7.47,134.39
ground-beef-medium,2025-04-07,128.04,1791.28
pork-chops-bnls,2025-04-07,50.57,758.04
pulled-pork-roast,2025-04-07,22.38,245.96
chuck-roast,2025-04-08,28.14,661.01
striploin-steak-bnls,2025-04-08,46.86,2014.51
ribeye-steak-bnls,2025-04-08,13.28,663.87
short-ribs-simmering,2025-04-08,62.26,2801.08
top-sirloin-steak-cr,2025-04-08,24.82,843.63
flank-steak,2025-04-08,10.51,378.25
blade-thin-sliced,2025-04-08,83.9,2096.66
pork-belly-thin-cut,2025-04-08,91.47,1188.2
wagyu-flatiron-thin,2025-04-08,8.84,583.35
tomahawk-steak,2025-04-08,6.0,577.39
tenderloin-steak,2025-04-08,3.35,221.07
brisket-whole-trimmed,2025-04-08,19.17,364.04
eye-of-round-roast,2025-04-08,24.74,494.55
beef-stew-meat,2025-04-08,28.14,478.1
skirt-steak,2025-04-08,8.58,334.53
osso-buco,2025-04-08,5.5,98.94
ground-beef-medium,2025-04-08,145.58,2036.66
pork-chops-bnls,2025-04-08,61.47,921.44
pulled-pork-roast,2025-04-08,23.9,262.66
chuck-roast,2025-04-09,31.87,748.63
striploin-steak-bnls,2025-04-09,47.98,2062.66
ribeye-steak-bnls,2025-04-09,14.72,735.85
short-ribs-simmering,2025-04-09,74.66,3358.95
top-sirloin-steak-cr,2025-04-09,19.93,677.42
flank-steak,2025-04-09,12.92,464.99
blade-thin-sliced,2025-04-09,116.16,2902.84
pork-belly-thin-cut,2025-04-09,89.13,1157.8
wagyu-flatiron-thin,2025-04-09,7.75,511.42
tomahawk-steak,2025-04-09,6.0,577.39
tenderloin-steak,2025-04-09,3.79,250.1
brisket-whole-trimmed,2025-04-09,17.89,339.73
eye-of-round-roast,2025-04-09,22.72,454.17
beef-stew-meat,2025-04-09,25.75,437.49
skirt-steak,2025-04-09,10.56,411.73
osso-buco,2025-04-09,6.36,114.42
ground-beef-medium,2025-04-09,123.78,1731.68
pork-chops-bnls,2025-04-09,53.18,797.17
pulled-pork-roast,2025-04-09,24.58,270.13
chuck-roast,2025-04-10,29.6,695.3
striploin-steak-bnls,2025-04-10,37.84,1626.74
ribeye-steak-bnls,2025-04-10,10.41,520.4
short-ribs-simmering,2025-04-10,62.21,2798.83
top-sirloin-steak-cr,2025-04-10,19.36,658.05
flank-steak,2025-04-10,12.68,456.35
blade-thin-sliced,2025-04-10,114.97,2873.1
pork-belly-thin-cut,2025-04-10,81.99,1065.05
wagyu-flatiron-thin,2025-04-10,9.1,600.51
tomahawk-steak,2025-04-10,6.0,577.39
tenderloin-steak,2025-04-10,3.84,253.4
brisket-whole-trimmed,2025-04-10,18.74,355.87
eye-of-round-roast,2025-04-10,20.37,407.2
beef-stew-meat,2025-04-10,26.03,442.25
skirt-steak,2025-04-10,10.03,391.07
osso-buco,2025-04-10,7.42,133.49
ground-beef-medium,2025-04-10,112.36,1571.92
pork-chops-bnls,2025-04-10,57.45,861.18
pulled-pork-roast,2025-04-10,19.44,213.65
chuck-roast,2025-04-11,41.92,984.7
striploin-steak-bnls,2025-04-11,50.03,2150.79
ribeye-steak-bnls,2025-04-11,13.75,687.36
short-ribs-simmering,2025-04-11,63.14,2840.67
top-sirloin-steak-cr,2025-04-11,21.58,733.5
flank-steak,2025-04-11,14.4,518.26
blade-thin-sliced,2025-04-11,101.62,2539.48
pork-belly-thin-cut,2025-04-11,91.05,1182.74
wagyu-flatiron-thin,2025-04-11,9.83,648.68
tomahawk-steak,2025-04-11,6.0,577.39
tenderloin-steak,2025-04-11,3.29,217.11
brisket-whole-trimmed,2025-04-11,15.35,291.5
eye-of-round-roast,2025-04-11,19.49,389.61
beef-stew-meat,2025-04-11,21.34,362.57
skirt-steak,2025-04-11,9.66,376.64
osso-buco,2025-04-11,8.79,158.13
ground-beef-medium,2025-04-11,157.46,2202.87
pork-chops-bnls,2025-04-11,43.73,655.51
pulled-pork-roast,2025-04-11,24.13,265.19
chuck-roast,2025-04-12,57.71,1355.61
striploin-steak-bnls,2025-04-12,62.86,2702.35
ribeye-steak-bnls,2025-04-12,22.4,1119.78
short-ribs-simmering,2025-04-12,66.15,2976.09
top-sirloin-steak-cr,2025-04-12,41.13,1398.01
flank-steak,2025-04-12,19.49,701.45
blade-thin-sliced,2025-04-12,172.26,4304.78
pork-belly-thin-cut,2025-04-12,110.17,1431.11
wagyu-flatiron-thin,2025-04-12,17.0,1121.83
tomahawk-steak,2025-04-12,10.0,962.33
tenderloin-steak,2025-04-12,7.25,478.43
brisket-whole-trimmed,2025-04-12,27.04,513.49
eye-of-round-roast,2025-04-12,23.94,478.56
beef-stew-meat,2025-04-12,34.3,582.76
skirt-steak,2025-04-12,14.86,579.39
osso-buco,2025-04-12,11.03,198.43
ground-beef-medium,2025-04-12,205.59,2876.2
pork-chops-bnls,2025-04-12,75.5,1131.75
pulled-pork-roast,2025-04-12,35.03,384.98
chuck-roast,2025-04-13,45.56,1070.2
striploin-steak-bnls,2025-04-13,75.47,3244.46
ribeye-steak-bnls,2025-04-13,23.79,1189.26
short-ribs-simmering,2025-04-13,82.8,3725.17
top-sirloin-steak-cr,2025-04-13,42.9,1458.17
flank-steak,2025-04-13,19.26,693.17
blade-thin-sliced,2025-04-13,168.85,4219.56
pork-belly-thin-cut,2025-04-13,135.14,1755.47
wagyu-flatiron-thin,2025-04-13,15.06,993.81
tomahawk-steak,2025-04-13,10.0,962.33
