source_primal,as_of,boxes_on_hand,velocity_tier
Tenderloin,2025-04-03,1.7,low
Shank,2025-04-03,5.4,low
Wagyu Flat Iron,2025-04-03,5.6,low
6X6 Frenched,2025-04-03,5.2,low
Plate,2025-04-03,5.3,low
Flank,2025-04-03,0.0,low
Bone-in Ribeye,2025-04-03,6.4,medium
Brisket,2025-04-03,8.9,medium
Pork Shoulder,2025-04-03,11.9,medium
Top Sirloin Butt,2025-04-03,8.9,medium
Round,2025-04-03,10.0,medium
Striploin Whole,2025-04-03,11.4,medium
Pork Loin,2025-04-03,22.2,best
Chuck Flat,2025-04-03,22.9,best
Pork Belly,2025-04-03,19.0,best
Chuck Primal,2025-04-03,19.5,best
Blade Eyes,2025-04-03,24.1,best
Tenderloin,2025-04-04,1.4,low
Shank,2025-04-04,5.6,low
Wagyu Flat Iron,2025-04-04,5.4,low
6X6 Frenched,2025-04-04,5.2,low
Plate,2025-04-04,3.6,low
Flank,2025-04-04,4.8,low
Bone-in Ribeye,2025-04-04,5.1,medium
Brisket,2025-04-04,11.4,medium
Pork Shoulder,2025-04-04,10.2,medium
Top Sirloin Butt,2025-04-04,9.9,medium
Round,2025-04-04,7.9,medium
Striploin Whole,2025-04-04,9.2,medium
Pork Loin,2025-04-04,21.2,best
Chuck Flat,2025-04-04,20.6,best
Pork Belly,2025-04-04,20.4,best
Chuck Primal,2025-04-04,23.7,best
Blade Eyes,2025-04-04,22.4,best
Tenderloin,2025-04-05,1.2,low
Shank,2025-04-05,5.3,low
Wagyu Flat Iron,2025-04-05,4.8,low
6X6 Frenched,2025-04-05,5.1,low
Plate,2025-04-05,1.3,low
Flank,2025-04-05,5.1,low
Bone-in Ribeye,2025-04-05,10.2,medium
Brisket,2025-04-05,10.0,medium
Pork Shoulder,2025-04-05,7.9,medium
Top Sirloin Butt,2025-04-05,11.1,medium
Round,2025-04-05,3.3,medium
Striploin Whole,2025-04-05,10.5,medium
Pork Loin,2025-04-05,20.3,best
Chuck Flat,2025-04-05,24.6,best
Pork Belly,2025-04-05,20.3,best
Chuck Primal,2025-04-05,19.2,best
Blade Eyes,2025-04-05,22.7,best
Tenderloin,2025-04-06,0.7,low
Shank,2025-04-06,3.8,low
Wagyu Flat Iron,2025-04-06,1.8,low
6X6 Frenched,2025-04-06,3.7,low
Plate,2025-04-06,0.0,low
Flank,2025-04-06,2.4,low
Bone-in Ribeye,2025-04-06,8.0,medium
Brisket,2025-04-06,8.2,medium
Pork Shoulder,2025-04-06,5.0,medium
Top Sirloin Butt,2025-04-06,8.4,medium
Round,2025-04-06,0.0,medium
Striploin Whole,2025-04-06,5.6,medium
Pork Loin,2025-04-06,11.7,best
Chuck Flat,2025-04-06,18.7,best
Pork Belly,2025-04-06,8.4,best
Chuck Primal,2025-04-06,7.0,best
Blade Eyes,2025-04-06,5.5,best
Tenderloin,2025-04-07,1.8,low
Shank,2025-04-07,4.8,low
Wagyu Flat Iron,2025-04-07,4.2,low
6X6 Frenched,2025-04-07,5.2,low
Plate,2025-04-07,4.9,low
Flank,2025-04-07,4.8,low
Bone-in Ribeye,2025-04-07,9.9,medium
Brisket,2025-04-07,6.7,medium
Pork Shoulder,2025-04-07,2.6,medium
Top Sirloin Butt,2025-04-07,8.7,medium
Round,2025-04-07,0.0,medium
Striploin Whole,2025-04-07,10.7,medium
Pork Loin,2025-04-07,4.5,best
Chuck Flat,2025-04-07,20.5,best
Pork Belly,2025-04-07,18.9,best
Chuck Primal,2025-04-07,18.8,best
Blade Eyes,2025-04-07,24.5,best
Tenderloin,2025-04-08,1.6,low
Shank,2025-04-08,5.4,low
Wagyu Flat Iron,2025-04-08,5.4,low
6X6 Frenched,2025-04-08,5.6,low
Plate,2025-04-08,5.2,low
Flank,2025-04-08,4.8,low
Bone-in Ribeye,2025-04-08,11.1,medium
Brisket,2025-04-08,5.7,medium
Pork Shoulder,2025-04-08,9.5,medium
Top Sirloin Butt,2025-04-08,10.6,medium
Round,2025-04-08,10.5,medium
Striploin Whole,2025-04-08,9.8,medium
Pork Loin,2025-04-08,0.0,best
Chuck Flat,2025-04-08,20.7,best
Pork Belly,2025-04-08,20.4,best
Chuck Primal,2025-04-08,20.4,best
Blade Eyes,2025-04-08,23.3,best
Tenderloin,2025-04-09,1.6,low
Shank,2025-04-09,5.1,low
Wagyu Flat Iron,2025-04-09,5.0,low
6X6 Frenched,2025-04-09,5.5,low
Plate,2025-04-09,5.3,low
Flank,2025-04-09,4.9,low
Bone-in Ribeye,2025-04-09,10.9,medium
Brisket,2025-04-09,9.3,medium
Pork Shoulder,2025-04-09,8.5,medium
Top Sirloin Butt,2025-04-09,9.7,medium
Round,2025-04-09,8.3,medium
Striploin Whole,2025-04-09,8.4,medium
Pork Loin,2025-04-09,0.0,best
Chuck Flat,2025-04-09,23.9,best
Pork Belly,2025-04-09,22.3,best
Chuck Primal,2025-04-09,23.1,best
Blade Eyes,2025-04-09,22.2,best
Tenderloin,2025-04-10,1.4,low
Shank,2025-04-10,5.2,low
Wagyu Flat Iron,2025-04-10,5.1,low
6X6 Frenched,2025-04-10,5.7,low
Plate,2025-04-10,5.7,low
Flank,2025-04-10,5.1,low
Bone-in Ribeye,2025-04-10,9.7,medium
Brisket,2025-04-10,10.2,medium
Pork Shoulder,2025-04-10,6.8,medium
Top Sirloin Butt,2025-04-10,9.6,medium
Round,2025-04-10,10.2,medium
Striploin Whole,2025-04-10,5.1,medium
Pork Loin,2025-04-10,0.0,best
Chuck Flat,2025-04-10,23.2,best
Pork Belly,2025-04-10,22.0,best
Chuck Primal,2025-04-10,20.2,best
Blade Eyes,2025-04-10,20.6,best
Tenderloin,2025-04-11,1.5,low
Shank,2025-04-11,5.7,low
Wagyu Flat Iron,2025-04-11,5.2,low
6X6 Frenched,2025-04-11,5.1,low
Plate,2025-04-11,5.3,low
Flank,2025-04-11,5.1,low
Bone-in Ribeye,2025-04-11,8.4,medium
Brisket,2025-04-11,9.8,medium
Pork Shoulder,2025-04-11,5.2,medium
Top Sirloin Butt,2025-04-11,8.5,medium
Round,2025-04-11,9.4,medium
Striploin Whole,2025-04-11,1.9,medium
Pork Loin,2025-04-11,20.1,best
Chuck Flat,2025-04-11,21.6,best
Pork Belly,2025-04-11,21.5,best
Chuck Primal,2025-04-11,20.1,best
Blade Eyes,2025-04-11,9.4,best
Tenderloin,2025-04-12,1.8,low
Shank,2025-04-12,5.7,low
Wagyu Flat Iron,2025-04-12,5.6,low
6X6 Frenched,2025-04-12,5.3,low
Plate,2025-04-12,5.2,low
Flank,2025-04-12,5.8,low
Bone-in Ribeye,2025-04-12,8.5,medium
Brisket,2025-04-12,8.4,medium
Pork Shoulder,2025-04-12,2.9,medium
Top Sirloin Butt,2025-04-12,11.2,medium
Round,2025-04-12,10.0,medium
Striploin Whole,2025-04-12,0.0,medium
Pork Loin,2025-04-12,22.9,best
Chuck Flat,2025-04-12,21.3,best
Pork Belly,2025-04-12,22.5,best
Chuck Primal,2025-04-12,20.1,best
Blade Eyes,2025-04-12,0.0,best
Tenderloin,2025-04-13,1.3,low
Shank,2025-04-13,4.1,low
Wagyu Flat Iron,2025-04-13,2.6,low
6X6 Frenched,2025-04-13,3.9,low
Plate,2025-04-13,2.1,low
Flank,2025-04-13,3.1,low
Bone-in Ribeye,2025-04-13,6.3,medium
Brisket,2025-04-13,6.5,medium
Pork Shoulder,2025-04-13,0.0,medium
Top Sirloin Butt,2025-04-13,8.4,medium
Round,2025-04-13,4.8,medium
Striploin Whole,2025-04-13,0.0,medium
Pork Loin,2025-04-13,14.4,best
Chuck Flat,2025-04-13,15.4,best
Pork Belly,2025-04-13,10.7,best
Chuck Primal,2025-04-13,7.9,best
Blade Eyes,2025-04-13,0.0,best
Tenderloin,2025-04-14,1.1,low
Shank,2025-04-14,5.5,low
Wagyu Flat Iron,2025-04-14,5.4,low
6X6 Frenched,2025-04-14,5.7,low
Plate,2025-04-14,5.9,low
Flank,2025-04-14,5.4,low
Bone-in Ribeye,2025-04-14,9.4,medium
Brisket,2025-04-14,5.1,medium
Pork Shoulder,2025-04-14,8.0,medium
Top Sirloin Butt,2025-04-14,10.0,medium
Round,2025-04-14,11.7,medium
Striploin Whole,2025-04-14,8.8,medium
Pork Loin,2025-04-14,21.9,best
Chuck Flat,2025-04-14,20.7,best
Pork Belly,2025-04-14,17.9,best
Chuck Primal,2025-04-14,20.3,best
Blade Eyes,2025-04-14,20.8,best
Tenderloin,2025-04-15,1.8,low
Shank,2025-04-15,5.5,low
Wagyu Flat Iron,2025-04-15,5.3,low
6X6 Frenched,2025-04-15,5.2,low
Plate,2025-04-15,5.2,low
Flank,2025-04-15,6.0,low
Bone-in Ribeye,2025-04-15,10.5,medium
Brisket,2025-04-15,4.0,medium
Pork Shoulder,2025-04-15,11.5,medium
Top Sirloin Butt,2025-04-15,8.9,medium
Round,2025-04-15,11.6,medium
Striploin Whole,2025-04-15,8.2,medium
Pork Loin,2025-04-15,22.9,best
Chuck Flat,2025-04-15,22.5,best
Pork Belly,2025-04-15,20.1,best
Chuck Primal,2025-04-15,23.4,best
Blade Eyes,2025-04-15,22.9,best
Tenderloin,2025-04-16,1.6,low
Shank,2025-04-16,5.2,low
Wagyu Flat Iron,2025-04-16,5.8,low
6X6 Frenched,2025-04-16,5.0,low
Plate,2025-04-16,4.9,low
Flank,2025-04-16,5.9,low
Bone-in Ribeye,2025-04-16,10.7,medium
Brisket,2025-04-16,8.6,medium
Pork Shoulder,2025-04-16,9.9,medium
Top Sirloin Butt,2025-04-16,11.3,medium
Round,2025-04-16,8.4,medium
Striploin Whole,2025-04-16,10.8,medium
Pork Loin,2025-04-16,22.5,best
Chuck Flat,2025-04-16,20.9,best
Pork Belly,2025-04-16,21.7,best
Chuck Primal,2025-04-16,22.9,best
Blade Eyes,2025-04-16,24.7,best
Tenderloin,2025-04-17,1.4,low
Shank,2025-04-17,5.6,low
Wagyu Flat Iron,2025-04-17,5.1,low
6X6 Frenched,2025-04-17,5.5,low
Plate,2025-04-17,5.1,low
Flank,2025-04-17,5.3,low
Bone-in Ribeye,2025-04-17,9.7,medium
Brisket,2025-04-17,9.3,medium
Pork Shoulder,2025-04-17,10.8,medium
Top Sirloin Butt,2025-04-17,10.8,medium
Round,2025-04-17,10.5,medium
Striploin Whole,2025-04-17,9.8,medium
Pork Loin,2025-04-17,23.5,best
Chuck Flat,2025-04-17,19.9,best
Pork Belly,2025-04-17,22.5,best
Chuck Primal,2025-04-17,21.2,best
Blade Eyes,2025-04-17,22.1,best
Tenderloin,2025-04-19,1.3,low
Shank,2025-04-19,5.2,low
Wagyu Flat Iron,2025-04-19,5.5,low
6X6 Frenched,2025-04-19,5.7,low
Plate,2025-04-19,5.1,low
Flank,2025-04-19,5.7,low
Bone-in Ribeye,2025-04-19,9.5,medium
Brisket,2025-04-19,8.8,medium
Pork Shoulder,2025-04-19,9.9,medium
Top Sirloin Butt,2025-04-19,10.0,medium
Round,2025-04-19,10.1,medium
Striploin Whole,2025-04-19,11.3,medium
Pork Loin,2025-04-19,24.1,best
Chuck Flat,2025-04-19,17.7,best
Pork Belly,2025-04-19,18.5,best
Chuck Primal,2025-04-19,20.9,best
Blade Eyes,2025-04-19,23.1,best
Tenderloin,2025-04-20,0.4,low
Shank,2025-04-20,2.5,low
Wagyu Flat Iron,2025-04-20,0.5,low
6X6 Frenched,2025-04-20,3.2,low
Plate,2025-04-20,0.0,low
Flank,2025-04-20,0.9,low
Bone-in Ribeye,2025-04-20,5.7,medium
Brisket,2025-04-20,5.7,medium
Pork Shoulder,2025-04-20,4.9,medium
Top Sirloin Butt,2025-04-20,5.4,medium
Round,2025-04-20,1.1,medium
Striploin Whole,2025-04-20,3.0,medium
Pork Loin,2025-04-20,9.5,best
Chuck Flat,2025-04-20,7.7,best
Pork Belly,2025-04-20,0.0,best
Chuck Primal,2025-04-20,0.2,best
Blade Eyes,2025-04-20,0.0,best
Tenderloin,2025-04-21,1.2,low
Shank,2025-04-21,0.5,low
Wagyu Flat Iron,2025-04-21,5.3,low
6X6 Frenched,2025-04-21,4.8,low
Plate,2025-04-21,5.2,low
Flank,2025-04-21,5.1,low
Bone-in Ribeye,2025-04-21,9.6,medium
Brisket,2025-04-21,7.8,medium
Pork Shoulder,2025-04-21,9.0,medium
Top Sirloin Butt,2025-04-21,8.3,medium
Round,2025-04-21,7.4,medium
Striploin Whole,2025-04-21,7.9,medium
Pork Loin,2025-04-21,17.4,best
Chuck Flat,2025-04-21,0.0,best
Pork Belly,2025-04-21,0.0,best
Chuck Primal,2025-04-21,21.1,best
Blade Eyes,2025-04-21,17.9,best
Tenderloin,2025-04-22,1.1,low
Shank,2025-04-22,4.8,low
Wagyu Flat Iron,2025-04-22,5.6,low
6X6 Frenched,2025-04-22,5.4,low
Plate,2025-04-22,5.4,low
Flank,2025-04-22,5.1,low
Bone-in Ribeye,2025-04-22,9.9,medium
Brisket,2025-04-22,11.3,medium
Pork Shoulder,2025-04-22,9.6,medium
Top Sirloin Butt,2025-04-22,7.9,medium
Round,2025-04-22,7.6,medium
Striploin Whole,2025-04-22,10.9,medium
Pork Loin,2025-04-22,20.1,best
Chuck Flat,2025-04-22,0.0,best
Pork Belly,2025-04-22,0.0,best
Chuck Primal,2025-04-22,19.0,best
Blade Eyes,2025-04-22,24.0,best
Tenderloin,2025-04-23,1.5,low
Shank,2025-04-23,5.0,low
Wagyu Flat Iron,2025-04-23,5.3,low
6X6 Frenched,2025-04-23,5.5,low
Plate,2025-04-23,5.1,low
Flank,2025-04-23,5.3,low
Bone-in Ribeye,2025-04-23,10.1,medium
Brisket,2025-04-23,10.2,medium
Pork Shoulder,2025-04-23,11.8,medium
Top Sirloin Butt,2025-04-23,6.4,medium
Round,2025-04-23,9.8,medium
Striploin Whole,2025-04-23,10.0,medium
Pork Loin,2025-04-23,23.5,best
Chuck Flat,2025-04-23,23.1,best
Pork Belly,2025-04-23,19.1,best
Chuck Primal,2025-04-23,20.9,best
Blade Eyes,2025-04-23,19.5,best
Tenderloin,2025-04-24,1.4,low
Shank,2025-04-24,5.4,low
Wagyu Flat Iron,2025-04-24,5.1,low
6X6 Frenched,2025-04-24,5.6,low
Plate,2025-04-24,5.2,low
Flank,2025-04-24,4.8,low
Bone-in Ribeye,2025-04-24,10.7,medium
Brisket,2025-04-24,9.2,medium
Pork Shoulder,2025-04-24,11.4,medium
Top Sirloin Butt,2025-04-24,4.9,medium
Round,2025-04-24,8.4,medium
Striploin Whole,2025-04-24,9.0,medium
Pork Loin,2025-04-24,21.8,best
Chuck Flat,2025-04-24,21.5,best
Pork Belly,2025-04-24,20.7,best
Chuck Primal,2025-04-24,23.0,best
Blade Eyes,2025-04-24,22.7,best
Tenderloin,2025-04-25,1.8,low
Shank,2025-04-25,5.5,low
Wagyu Flat Iron,2025-04-25,5.6,low
6X6 Frenched,2025-04-25,5.0,low
Plate,2025-04-25,5.2,low
Flank,2025-04-25,5.6,low
Bone-in Ribeye,2025-04-25,9.4,medium
Brisket,2025-04-25,8.8,medium
Pork Shoulder,2025-04-25,9.8,medium
Top Sirloin Butt,2025-04-25,3.3,medium
Round,2025-04-25,8.0,medium
Striploin Whole,2025-04-25,10.1,medium
Pork Loin,2025-04-25,16.1,best
Chuck Flat,2025-04-25,20.3,best
Pork Belly,2025-04-25,21.0,best
Chuck Primal,2025-04-25,23.0,best
Blade Eyes,2025-04-25,21.5,best
Tenderloin,2025-04-26,1.4,low
Shank,2025-04-26,5.5,low
Wagyu Flat Iron,2025-04-26,4.8,low
6X6 Frenched,2025-04-26,3.8,low
Plate,2025-04-26,5.1,low
Flank,2025-04-26,5.9,low
Bone-in Ribeye,2025-04-26,9.5,medium
Brisket,2025-04-26,8.6,medium
Pork Shoulder,2025-04-26,9.7,medium
Top Sirloin Butt,2025-04-26,10.2,medium
Round,2025-04-26,8.6,medium
Striploin Whole,2025-04-26,10.4,medium
Pork Loin,2025-04-26,8.9,best
Chuck Flat,2025-04-26,22.8,best
Pork Belly,2025-04-26,19.7,best
Chuck Primal,2025-04-26,23.2,best
Blade Eyes,2025-04-26,23.9,best
Tenderloin,2025-04-27,0.9,low
Shank,2025-04-27,4.0,low
Wagyu Flat Iron,2025-04-27,1.9,low
6X6 Frenched,2025-04-27,2.4,low
Plate,2025-04-27,2.0,low
Flank,2025-04-27,3.1,low
Bone-in Ribeye,2025-04-27,7.3,medium
Brisket,2025-04-27,6.7,medium
Pork Shoulder,2025-04-27,6.8,medium
Top Sirloin Butt,2025-04-27,7.5,medium
Round,2025-04-27,3.4,medium
Striploin Whole,2025-04-27,5.5,medium
Pork Loin,2025-04-27,0.3,best
Chuck Flat,2025-04-27,16.9,best
Pork Belly,2025-04-27,7.8,best
Chuck Primal,2025-04-27,11.0,best
Blade Eyes,2025-04-27,6.8,best
Tenderloin,2025-04-28,0.5,low
Shank,2025-04-28,5.1,low
Wagyu Flat Iron,2025-04-28,4.9,low
6X6 Frenched,2025-04-28,1.2,low
Plate,2025-04-28,5.4,low
Flank,2025-04-28,5.5,low
Bone-in Ribeye,2025-04-28,9.8,medium
Brisket,2025-04-28,10.3,medium
Pork Shoulder,2025-04-28,9.4,medium
Top Sirloin Butt,2025-04-28,9.3,medium
Round,2025-04-28,10.2,medium
Striploin Whole,2025-04-28,9.4,medium
Pork Loin,2025-04-28,19.3,best
Chuck Flat,2025-04-28,19.9,best
Pork Belly,2025-04-28,19.4,best
Chuck Primal,2025-04-28,18.8,best
Blade Eyes,2025-04-28,18.6,best
Tenderloin,2025-04-29,1.2,low
Shank,2025-04-29,5.0,low
Wagyu Flat Iron,2025-04-29,4.8,low
6X6 Frenched,2025-04-29,4.6,low
Plate,2025-04-29,5.1,low
Flank,2025-04-29,5.3,low
Bone-in Ribeye,2025-04-29,11.2,medium
Brisket,2025-04-29,10.2,medium
Pork Shoulder,2025-04-29,9.0,medium
Top Sirloin Butt,2025-04-29,8.3,medium
Round,2025-04-29,11.0,medium
Striploin Whole,2025-04-29,9.3,medium
Pork Loin,2025-04-29,22.1,best
Chuck Flat,2025-04-29,19.4,best
Pork Belly,2025-04-29,23.7,best
Chuck Primal,2025-04-29,21.4,best
Blade Eyes,2025-04-29,19.3,best
Tenderloin,2025-04-30,1.6,low
Shank,2025-04-30,5.6,low
Wagyu Flat Iron,2025-04-30,5.6,low
6X6 Frenched,2025-04-30,5.0,low
Plate,2025-04-30,3.4,low
Flank,2025-04-30,5.4,low
Bone-in Ribeye,2025-04-30,10.0,medium
Brisket,2025-04-30,10.5,medium
Pork Shoulder,2025-04-30,10.3,medium
Top Sirloin Butt,2025-04-30,9.3,medium
Round,2025-04-30,7.2,medium
Striploin Whole,2025-04-30,8.2,medium
Pork Loin,2025-04-30,19.8,best
Chuck Flat,2025-04-30,19.6,best
Pork Belly,2025-04-30,22.3,best
Chuck Primal,2025-04-30,22.7,best
Blade Eyes,2025-04-30,20.6,best
Tenderloin,2025-05-01,1.4,low
Shank,2025-05-01,5.8,low
Wagyu Flat Iron,2025-05-01,5.5,low
6X6 Frenched,2025-05-01,5.3,low
Plate,2025-05-01,1.7,low
Flank,2025-05-01,5.4,low
Bone-in Ribeye,2025-05-01,8.7,medium
Brisket,2025-05-01,11.8,medium
Pork Shoulder,2025-05-01,8.7,medium
Top Sirloin Butt,2025-05-01,11.3,medium
Round,2025-05-01,3.3,medium
Striploin Whole,2025-05-01,4.9,medium
Pork Loin,2025-05-01,22.6,best
Chuck Flat,2025-05-01,21.8,best
Pork Belly,2025-05-01,21.3,best
Chuck Primal,2025-05-01,20.1,best
Blade Eyes,2025-05-01,18.4,best
Tenderloin,2025-05-02,1.2,low
Shank,2025-05-02,5.2,low
Wagyu Flat Iron,2025-05-02,5.1,low
6X6 Frenched,2025-05-02,5.4,low
Plate,2025-05-02,0.0,low
Flank,2025-05-02,5.0,low
Bone-in Ribeye,2025-05-02,9.2,medium
Brisket,2025-05-02,10.7,medium
Pork Shoulder,2025-05-02,8.1,medium
Top Sirloin Butt,2025-05-02,10.4,medium
Round,2025-05-02,0.0,medium
Striploin Whole,2025-05-02,1.7,medium
Pork Loin,2025-05-02,21.0,best
Chuck Flat,2025-05-02,21.5,best
Pork Belly,2025-05-02,23.4,best
Chuck Primal,2025-05-02,19.8,best
Blade Eyes,2025-05-02,7.2,best
Tenderloin,2025-05-03,1.7,low
Shank,2025-05-03,5.4,low
Wagyu Flat Iron,2025-05-03,5.5,low
6X6 Frenched,2025-05-03,5.3,low
Plate,2025-05-03,0.0,low
Flank,2025-05-03,5.4,low
Bone-in Ribeye,2025-05-03,8.2,medium
Brisket,2025-05-03,9.3,medium
Pork Shoulder,2025-05-03,9.6,medium
Top Sirloin Butt,2025-05-03,10.3,medium
Round,2025-05-03,10.2,medium
Striploin Whole,2025-05-03,0.0,medium
Pork Loin,2025-05-03,22.8,best
Chuck Flat,2025-05-03,16.4,best
Pork Belly,2025-05-03,21.0,best
Chuck Primal,2025-05-03,20.0,best
Blade Eyes,2025-05-03,0.0,best
Tenderloin,2025-05-04,1.2,low
Shank,2025-05-04,3.8,low
Wagyu Flat Iron,2025-05-04,2.5,low
6X6 Frenched,2025-05-04,3.9,low
Plate,2025-05-04,0.0,low
Flank,2025-05-04,2.7,low
Bone-in Ribeye,2025-05-04,6.0,medium
Brisket,2025-05-04,7.4,medium
Pork Shoulder,2025-05-04,6.6,medium
Top Sirloin Butt,2025-05-04,7.6,medium
Round,2025-05-04,4.9,medium
Striploin Whole,2025-05-04,0.0,medium
Pork Loin,2025-05-04,14.2,best
Chuck Flat,2025-05-04,10.5,best
Pork Belly,2025-05-04,9.1,best
Chuck Primal,2025-05-04,7.8,best
Blade Eyes,2025-05-04,0.0,best
Tenderloin,2025-05-05,1.8,low
Shank,2025-05-05,5.7,low
Wagyu Flat Iron,2025-05-05,4.9,low
6X6 Frenched,2025-05-05,5.4,low
Plate,2025-05-05,5.0,low
Flank,2025-05-05,4.4,low
Bone-in Ribeye,2025-05-05,8.0,medium
Brisket,2025-05-05,9.7,medium
Pork Shoulder,2025-05-05,10.6,medium
Top Sirloin Butt,2025-05-05,8.9,medium
Round,2025-05-05,10.3,medium
Striploin Whole,2025-05-05,6.5,medium
Pork Loin,2025-05-05,20.3,best
Chuck Flat,2025-05-05,5.4,best
Pork Belly,2025-05-05,19.6,best
Chuck Primal,2025-05-05,21.7,best
Blade Eyes,2025-05-05,0.0,best
Tenderloin,2025-05-06,2.0,low
Shank,2025-05-06,5.7,low
Wagyu Flat Iron,2025-05-06,5.8,low
6X6 Frenched,2025-05-06,4.5,low
Plate,2025-05-06,5.1,low
Flank,2025-05-06,5.2,low
Bone-in Ribeye,2025-05-06,11.7,medium
Brisket,2025-05-06,11.9,medium
Pork Shoulder,2025-05-06,9.8,medium
Top Sirloin Butt,2025-05-06,9.6,medium
Round,2025-05-06,11.4,medium
Striploin Whole,2025-05-06,10.3,medium
Pork Loin,2025-05-06,20.6,best
Chuck Flat,2025-05-06,1.0,best
Pork Belly,2025-05-06,20.8,best
Chuck Primal,2025-05-06,20.3,best
Blade Eyes,2025-05-06,22.1,best
Tenderloin,2025-05-07,1.7,low
Shank,2025-05-07,5.7,low
Wagyu Flat Iron,2025-05-07,5.5,low
6X6 Frenched,2025-05-07,3.5,low
Plate,2025-05-07,5.5,low
Flank,2025-05-07,5.7,low
Bone-in Ribeye,2025-05-07,10.4,medium
Brisket,2025-05-07,10.8,medium
Pork Shoulder,2025-05-07,10.6,medium
Top Sirloin Butt,2025-05-07,11.1,medium
Round,2025-05-07,10.9,medium
Striploin Whole,2025-05-07,9.8,medium
Pork Loin,2025-05-07,14.8,best
Chuck Flat,2025-05-07,21.2,best
Pork Belly,2025-05-07,23.1,best
Chuck Primal,2025-05-07,19.4,best
Blade Eyes,2025-05-07,24.2,best
Tenderloin,2025-05-08,1.5,low
Shank,2025-05-08,5.1,low
Wagyu Flat Iron,2025-05-08,5.5,low
6X6 Frenched,2025-05-08,2.6,low
Plate,2025-05-08,5.4,low
Flank,2025-05-08,4.1,low
Bone-in Ribeye,2025-05-08,10.6,medium
Brisket,2025-05-08,10.3,medium
Pork Shoulder,2025-05-08,10.6,medium
Top Sirloin Butt,2025-05-08,9.5,medium
Round,2025-05-08,9.4,medium
Striploin Whole,2025-05-08,10.1,medium
Pork Loin,2025-05-08,9.1,best
Chuck Flat,2025-05-08,23.0,best
Pork Belly,2025-05-08,22.1,best
Chuck Primal,2025-05-08,23.8,best
Blade Eyes,2025-05-08,20.5,best
Tenderloin,2025-05-09,1.3,low
Shank,2025-05-09,5.5,low
Wagyu Flat Iron,2025-05-09,5.1,low
6X6 Frenched,2025-05-09,1.6,low
Plate,2025-05-09,5.4,low
Flank,2025-05-09,2.4,low
Bone-in Ribeye,2025-05-09,9.3,medium
Brisket,2025-05-09,10.8,medium
Pork Shoulder,2025-05-09,9.0,medium
Top Sirloin Butt,2025-05-09,8.2,medium
Round,2025-05-09,9.6,medium
Striploin Whole,2025-05-09,8.3,medium
Pork Loin,2025-05-09,3.4,best
Chuck Flat,2025-05-09,23.5,best
Pork Belly,2025-05-09,14.2,best
Chuck Primal,2025-05-09,20.4,best
Blade Eyes,2025-05-09,22.2,best
Tenderloin,2025-05-10,1.6,low
Shank,2025-05-10,5.5,low
Wagyu Flat Iron,2025-05-10,5.2,low
6X6 Frenched,2025-05-10,4.4,low
Plate,2025-05-10,4.9,low
Flank,2025-05-10,0.2,low
Bone-in Ribeye,2025-05-10,8.0,medium
Brisket,2025-05-10,9.3,medium
Pork Shoulder,2025-05-10,10.0,medium
Top Sirloin Butt,2025-05-10,9.8,medium
Round,2025-05-10,9.9,medium
Striploin Whole,2025-05-10,11.3,medium
Pork Loin,2025-05-10,19.6,best
Chuck Flat,2025-05-10,21.1,best
Pork Belly,2025-05-10,4.3,best
Chuck Primal,2025-05-10,22.3,best
Blade Eyes,2025-05-10,8.0,best
Tenderloin,2025-05-11,1.1,low
Shank,2025-05-11,4.0,low
Wagyu Flat Iron,2025-05-11,2.2,low
6X6 Frenched,2025-05-11,3.0,low
Plate,2025-05-11,1.8,low
Flank,2025-05-11,0.0,low
Bone-in Ribeye,2025-05-11,5.8,medium
Brisket,2025-05-11,7.5,medium
Pork Shoulder,2025-05-11,7.0,medium
Top Sirloin Butt,2025-05-11,7.1,medium
Round,2025-05-11,4.6,medium
Striploin Whole,2025-05-11,6.4,medium
Pork Loin,2025-05-11,11.0,best
Chuck Flat,2025-05-11,15.2,best
Pork Belly,2025-05-11,0.0,best
Chuck Primal,2025-05-11,10.1,best
Blade Eyes,2025-05-11,0.0,best
Tenderloin,2025-05-12,1.5,low
Shank,2025-05-12,5.1,low
Wagyu Flat Iron,2025-05-12,5.2,low
6X6 Frenched,2025-05-12,4.7,low
Plate,2025-05-12,5.4,low
Flank,2025-05-12,0.0,low
Bone-in Ribeye,2025-05-12,10.5,medium
Brisket,2025-05-12,10.0,medium
Pork Shoulder,2025-05-12,10.5,medium
Top Sirloin Butt,2025-05-12,10.7,medium
Round,2025-05-12,7.6,medium
Striploin Whole,2025-05-12,7.8,medium
Pork Loin,2025-05-12,21.8,best
Chuck Flat,2025-05-12,24.0,best
Pork Belly,2025-05-12,0.0,best
Chuck Primal,2025-05-12,17.5,best
Blade Eyes,2025-05-12,0.0,best
Tenderloin,2025-05-13,1.3,low
Shank,2025-05-13,5.9,low
Wagyu Flat Iron,2025-05-13,4.9,low
6X6 Frenched,2025-05-13,5.7,low
Plate,2025-05-13,5.4,low
Flank,2025-05-13,0.0,low
Bone-in Ribeye,2025-05-13,10.0,medium
Brisket,2025-05-13,9.0,medium
Pork Shoulder,2025-05-13,11.2,medium
Top Sirloin Butt,2025-05-13,10.6,medium
Round,2025-05-13,10.2,medium
